date,value,volume
2021-06-24,34663.09,86625.80426
2021-06-25,31584.45,116061.130356
2021-06-26,32283.65,107820.375287
2021-06-27,34700.34,96613.244211
2021-06-28,34494.89,82222.267819
2021-06-29,35911.73,90788.79622
2021-06-30,35045.0,77152.197634
2021-07-01,33504.69,71708.266112
2021-07-02,33786.55,56172.181378
2021-07-03,34669.13,43044.578641
2021-07-04,35286.51,43703.475789
2021-07-05,33690.14,64123.874245
2021-07-06,34220.01,58210.596349
2021-07-07,33862.12,53807.521675
2021-07-08,32875.71,70136.48032
2021-07-09,33815.81,47153.939899
2021-07-10,33502.87,34761.175468
2021-07-11,34258.99,31572.647448
2021-07-12,33086.63,48181.403762
2021-07-13,32729.77,41126.361008
2021-07-14,32820.02,46777.823484
2021-07-15,31880.0,51639.576353
2021-07-16,31383.87,48499.864154
2021-07-17,31520.07,34012.242132
2021-07-18,31778.56,35923.716186
2021-07-19,30839.65,47340.468499
2021-07-20,29790.35,61034.049017
2021-07-21,32144.51,82796.265128
2021-07-22,32287.83,46148.092433
2021-07-23,33634.09,50112.863626
2021-07-24,34258.14,47977.550138
2021-07-25,35381.02,47852.928313
2021-07-26,37237.6,152452.512724
2021-07-27,39457.87,88397.267015
2021-07-28,40019.56,101344.528441
2021-07-29,40016.48,53998.439283
2021-07-30,42206.37,73602.784805
2021-07-31,41461.83,44849.791012
2021-08-01,39845.44,53953.186326
2021-08-02,39147.82,50837.351954
2021-08-03,38207.05,57117.435853
2021-08-04,39723.18,52329.35243
2021-08-05,40862.46,84343.755621
2021-08-06,42836.87,75753.941347
2021-08-07,44572.54,73396.740808
2021-08-08,43794.37,69329.092698
2021-08-09,46253.4,74587.884845
2021-08-10,45584.99,53814.643421
2021-08-11,45511.0,52734.901977
2021-08-12,44399.0,55266.108781
2021-08-13,47800.0,48239.370431
2021-08-14,47068.51,46114.359022
2021-08-15,46973.82,42110.711334
2021-08-16,45901.29,52480.574014
2021-08-17,44695.95,57039.341629
2021-08-18,44705.29,54099.415985
2021-08-19,46760.62,53411.75392
2021-08-20,49322.47,56850.352228
2021-08-21,48821.87,46745.136584
2021-08-22,49239.22,37007.887795
2021-08-23,49488.85,52462.541954
2021-08-24,47674.01,51014.594748
2021-08-25,48973.32,44655.830342
2021-08-26,46843.87,49371.277774
2021-08-27,49069.9,42068.104965
2021-08-28,48895.35,26681.063786
2021-08-29,48767.83,32652.283473
2021-08-30,46982.91,40288.35083
2021-08-31,47100.89,48645.52737
2021-09-01,48810.52,49904.65528
2021-09-02,49246.64,54410.770538
2021-09-03,49999.14,59025.644157
2021-09-04,49915.64,34664.65959
2021-09-05,51756.88,40544.835873
2021-09-06,52663.9,49249.667081
2021-09-07,46863.73,123048.802719
2021-09-08,46048.31,65069.3152
2021-09-09,46395.14,50651.66002
2021-09-10,44850.91,49048.26618
2021-09-11,45173.69,30440.4081
2021-09-12,46025.24,32094.28052
2021-09-13,44940.73,65429.15056
2021-09-14,47111.52,44855.85099
2021-09-15,48121.41,43204.71174
2021-09-16,47737.82,40725.08895
2021-09-17,47299.98,34461.92776
2021-09-18,48292.74,30906.47038
2021-09-19,47241.75,29847.24349
2021-09-20,43015.62,78003.524443
2021-09-21,40734.38,84534.080485
2021-09-22,43543.61,58349.05542
2021-09-23,44865.26,48699.57655
2021-09-24,42810.57,84113.426292
2021-09-25,42670.64,33594.57189
2021-09-26,43160.9,49879.99765
2021-09-27,42147.35,39776.84383
2021-09-28,41026.54,43372.2624
2021-09-29,41524.28,33511.53487
2021-09-30,43824.1,46381.22781
2021-10-01,48141.61,66244.87492
2021-10-02,47634.9,30508.98131
2021-10-03,48200.01,30825.05601
2021-10-04,49224.94,46796.49372
2021-10-05,51471.99,52125.66793
2021-10-06,55315.0,79877.545181
2021-10-07,53785.22,54917.37766
2021-10-08,53951.43,46160.25785
2021-10-09,54949.72,55177.08013
2021-10-10,54659.0,89237.836128
2021-10-11,57471.35,52933.165751
2021-10-12,55996.93,53471.2855
2021-10-13,57367.0,55808.44492
2021-10-14,57347.94,43053.336781
2021-10-15,61672.42,82512.908022
2021-10-16,60875.57,35467.88096
2021-10-17,61528.33,39099.24124
2021-10-18,62009.84,51798.44844
2021-10-19,64280.59,53628.107744
2021-10-20,66001.41,51428.934856
2021-10-21,62193.15,68538.64537
2021-10-22,60688.22,52119.35886
2021-10-23,61286.75,27626.93678
2021-10-24,60852.22,31226.57676
2021-10-25,63078.78,36853.83806
2021-10-26,60328.81,40217.50083
2021-10-27,58413.44,62124.49016
2021-10-28,60575.89,61056.35301
2021-10-29,62253.71,43973.90414
2021-10-30,61859.19,31478.12566
2021-10-31,61299.8,39267.63794
2021-11-01,60911.11,44687.66672
2021-11-02,63219.99,46368.2841
2021-11-03,62896.48,43336.09049
2021-11-04,61395.01,35930.93314
2021-11-05,60937.12,31604.48749
2021-11-06,61470.61,25590.57408
2021-11-07,63273.59,25515.6883
2021-11-08,67525.83,54442.094554
2021-11-09,66947.66,44661.378068
2021-11-10,64882.43,65171.504046
2021-11-11,64774.26,37237.98058
2021-11-12,64122.23,44490.10816
2021-11-13,64380.0,22504.97383
2021-11-14,65519.1,25705.07347
2021-11-15,63606.74,37829.37124
2021-11-16,60058.87,77455.15609
2021-11-17,60344.87,46289.38491
2021-11-18,56891.62,62146.99931
2021-11-19,58052.24,50715.88726
2021-11-20,59707.51,33811.5901
2021-11-21,58622.02,31902.22785
2021-11-22,56247.18,51724.32047
2021-11-23,57541.27,49917.85017
2021-11-24,57138.29,39612.04964
2021-11-25,58960.36,42153.51522
2021-11-26,53726.53,65927.87066
2021-11-27,54721.03,29716.99957
2021-11-28,57274.88,36163.7137
2021-11-29,57776.25,40125.28009
2021-11-30,56950.56,49161.05194
2021-12-01,57184.07,44956.63656
2021-12-02,56480.34,37574.05976
2021-12-03,53601.05,58927.69027
2021-12-04,49152.47,114203.373748
2021-12-05,49396.33,45580.82012
2021-12-06,50441.92,58571.21575
2021-12-07,50588.95,38253.46877
2021-12-08,50471.19,38425.92466
2021-12-09,47545.59,37692.68665
2021-12-10,47140.54,44233.57391
2021-12-11,49389.99,28889.19358
2021-12-12,50053.9,26017.93421
2021-12-13,46702.75,50869.52093
2021-12-14,48343.28,39955.98445
2021-12-15,48864.98,51629.181
2021-12-16,47632.38,31949.86739
2021-12-17,46131.2,43104.4887
2021-12-18,46834.48,25020.05271
2021-12-19,46681.23,29305.70665
2021-12-20,46914.16,35848.50609
2021-12-21,48889.88,37713.92924
2021-12-22,48588.16,27004.2022
2021-12-23,50838.81,35192.54046
2021-12-24,50820.0,31684.84269
2021-12-25,50399.66,19135.51613
2021-12-26,50775.49,22569.88914
2021-12-27,50701.44,28792.21566
2021-12-28,47543.74,45853.33924
2021-12-29,46464.66,39498.87
2021-12-30,47120.87,30352.29569
2021-12-31,46216.93,34937.99796
2022-01-01,47722.65,19604.46325
2022-01-02,47286.18,18340.4604
2022-01-03,46446.1,27662.0771
2022-01-04,45832.01,35491.4136
2022-01-05,43451.13,51784.11857
2022-01-06,43082.31,38880.37305
2022-01-07,41566.48,54836.50818
2022-01-08,41679.74,32952.73111
2022-01-09,41864.62,22724.39426
2022-01-10,41822.49,50729.17019
2022-01-11,42729.29,37296.43729
2022-01-12,43902.66,33943.2928
2022-01-13,42560.11,34910.87762
2022-01-14,43059.96,32640.88292
2022-01-15,43084.29,21936.05616
2022-01-16,43071.66,20602.35271
2022-01-17,42201.62,27562.08613
2022-01-18,42352.12,29324.08257
2022-01-19,41660.01,31685.72159
2022-01-20,40680.91,42330.33953
2022-01-21,36445.31,88860.891999
2022-01-22,35071.42,90471.338961
2022-01-23,36244.55,44279.52354
2022-01-24,36660.35,91904.753211
2022-01-25,36958.32,49232.40183
2022-01-26,36809.34,69830.16036
2022-01-27,37160.1,53020.87934
2022-01-28,37716.56,42154.26956
2022-01-29,38166.84,26129.49682
2022-01-30,37881.76,21430.66527
2022-01-31,38466.9,36855.2458
2022-02-01,38694.59,34574.44663
2022-02-02,36896.36,35794.6813
2022-02-03,37311.61,32081.10999
2022-02-04,41574.25,64703.95874
2022-02-05,41382.59,32532.34372
2022-02-06,42380.87,22405.16704
2022-02-07,43839.99,51060.62006
2022-02-08,44042.99,64880.29387
2022-02-09,44372.72,34428.16729
2022-02-10,43495.44,62357.29091
2022-02-11,42373.73,44975.1687
2022-02-12,42217.87,26556.85681
2022-02-13,42053.66,17732.08113
2022-02-14,42535.94,34010.1306
2022-02-15,44544.86,38095.19576
2022-02-16,43873.56,28471.8727
2022-02-17,40515.7,47245.99494
2022-02-18,39974.44,43845.92241
2022-02-19,40079.17,18042.0551
2022-02-20,38386.89,33439.29011
2022-02-21,37008.16,62347.68496
2022-02-22,38230.33,53785.94589
2022-02-23,37250.01,43560.732
2022-02-24,38327.21,120476.29458
2022-02-25,39219.17,56574.57125
2022-02-26,39116.72,29361.2568
2022-02-27,37699.07,46229.44719
2022-02-28,43160.0,73945.63858
2022-03-01,44421.2,61743.09873
2022-03-02,43892.98,57782.65081
2022-03-03,42454.0,50940.61021
2022-03-04,39148.66,61964.68498
2022-03-05,39397.96,30363.13341
2022-03-06,38420.81,39677.26158
2022-03-07,37988.0,63994.11559
2022-03-08,38730.63,55583.06638
2022-03-09,41941.71,67392.58799
2022-03-10,39422.0,71962.93154
2022-03-11,38729.57,59018.7642
2022-03-12,38807.36,24034.36432
2022-03-13,37777.34,32791.82359
2022-03-14,39671.37,46945.45375
2022-03-15,39280.33,46015.54926
2022-03-16,41114.0,88120.76167
2022-03-17,40917.9,37189.38087
2022-03-18,41757.51,45408.00969
2022-03-19,42201.13,29067.18108
2022-03-20,41262.11,30653.33468
2022-03-21,41002.25,39426.24877
2022-03-22,42364.13,59454.94294
2022-03-23,42882.76,40828.87039
2022-03-24,43991.46,56195.12374
2022-03-25,44313.16,54614.43648
2022-03-26,44511.27,23041.61741
2022-03-27,46827.76,41874.91071
2022-03-28,47122.21,58949.2614
2022-03-29,47434.8,36772.28457
2022-03-30,47067.99,40947.2085
2022-03-31,45510.34,48645.12667
2022-04-01,46283.49,56271.06474
2022-04-02,45811.0,37073.53582
2022-04-03,46407.35,33394.67794
2022-04-04,46580.51,44641.87514
2022-04-05,45497.55,42192.74852
2022-04-06,43170.47,60849.32936
2022-04-07,43444.19,37396.54156
2022-04-08,42252.01,42375.04203
2022-04-09,42753.97,17891.66047
2022-04-10,42158.85,22771.09403
2022-04-11,39530.45,63560.44721
2022-04-12,40074.94,57751.01778
2022-04-13,41147.79,41342.27254
2022-04-14,39942.38,36807.01401
2022-04-15,40551.9,24026.35739
2022-04-16,40378.71,15805.44718
2022-04-17,39678.12,19988.49259
2022-04-18,40801.13,54243.49575
2022-04-19,41493.18,35788.85843
2022-04-20,41358.19,40877.35041
2022-04-21,40480.01,59316.27657
2022-04-22,39709.18,46664.0196
2022-04-23,39441.6,20291.42375
2022-04-24,39450.13,26703.61186
2022-04-25,40426.08,63037.12784
2022-04-26,38112.65,66650.258
2022-04-27,39235.72,57083.12272
2022-04-28,39742.07,56086.6715
2022-04-29,38596.11,51453.65715
2022-04-30,37630.8,35321.18989
2022-05-01,38468.35,38812.24104
2022-05-02,38525.16,53200.92628
2022-05-03,37728.95,40316.45358
2022-05-04,39690.0,62574.61736
2022-05-05,36552.97,88722.43355
2022-05-06,36013.77,68437.80187
2022-05-07,35472.39,34281.70682
2022-05-08,34038.4,72445.64344
2022-05-09,30076.31,191876.926428
2022-05-10,31017.1,165532.00311
2022-05-11,29103.94,207063.739278
2022-05-12,29029.75,204507.263138
2022-05-13,29287.05,97872.36957
2022-05-14,30086.74,51095.87863
2022-05-15,31328.89,46275.66912
2022-05-16,29874.01,73082.19658
2022-05-17,30444.93,56724.13307
2022-05-18,28715.32,59749.15799
2022-05-19,30319.23,67877.36415
2022-05-20,29201.01,60517.25325
2022-05-21,29445.06,20987.13124
2022-05-22,30293.94,36158.98748
2022-05-23,29109.15,63901.49932
2022-05-24,29654.58,59442.96036
2022-05-25,29542.15,59537.38659
2022-05-26,29201.35,94581.65463
2022-05-27,28629.8,90998.5201
2022-05-28,29031.33,34479.35127
2022-05-29,29468.1,27567.34764
2022-05-30,31734.22,96785.9476
2022-05-31,31801.04,62433.11632
2022-06-01,29805.83,103395.63382
2022-06-02,30452.62,56961.42928
2022-06-03,29700.21,54067.44727
2022-06-04,29864.04,25617.90113
2022-06-05,29919.21,23139.9281
2022-06-06,31373.1,68836.92456
2022-06-07,31125.33,110674.51658
2022-06-08,30204.77,68542.61276
2022-06-09,30109.93,46291.1865
2022-06-10,29091.88,76204.2498
2022-06-11,28424.7,65901.39895
2022-06-12,26574.53,92474.598809
2022-06-13,22487.41,254611.034966
2022-06-14,22136.41,187201.64671
2022-06-15,22583.72,200774.493467
2022-06-16,20401.31,99673.59429
2022-06-17,20468.81,86694.33663
2022-06-18,18970.79,196441.655524
2022-06-19,20574.0,128320.87595
2022-06-20,20573.89,109028.94154
2022-06-21,20723.52,104371.0749
2022-06-22,19987.99,92133.97938
2022-06-23,21110.13,83127.08716
2022-06-24,21237.69,77430.36622
2022-06-25,21491.19,51431.67794
2022-06-26,21038.07,53278.10464
2022-06-27,20742.56,64475.0013
2022-06-28,20281.29,63801.0832
2022-06-29,20123.01,77309.04379
2022-06-30,19942.21,93846.64806
2022-07-01,19279.8,111844.59494
2022-07-02,19252.81,46180.3021
2022-07-03,19315.83,51087.46631
2022-07-04,20236.71,74814.04601
2022-07-05,20175.83,96041.13756
2022-07-06,20564.51,82439.5808
2022-07-07,21624.98,85014.58261
2022-07-08,21594.75,403081.57349
2022-07-09,21591.83,178417.84468
2022-07-10,20862.47,192188.21556
2022-07-11,19963.61,137535.40724
2022-07-12,19328.75,139506.45862
2022-07-13,20234.87,209250.24888
2022-07-14,20588.84,174809.21696
2022-07-15,20830.04,143343.3049
2022-07-16,21195.6,121011.67393
2022-07-17,20798.16,118229.4525
2022-07-18,22432.58,239942.73132
2022-07-19,23396.62,263770.76574
2022-07-20,23223.3,238762.17094
