date,value
2022-01-01,0.0005466751
2022-01-02,0.0005465765
2022-01-03,0.0005545973
2022-01-04,0.0005514594
2022-01-05,0.0005523031
2022-01-06,0.0005583816
2022-01-07,0.0005565945
2022-01-08,0.0005564722
2022-01-09,0.0005569727
2022-01-10,0.0005551059
2022-01-11,0.0005490373
2022-01-12,0.0005490147
2022-01-13,0.0005489981
2022-01-14,0.0005501972
2022-01-15,0.0005501972
2022-01-16,0.0005501207
2022-01-17,0.0005499328
2022-01-18,0.0005511494
2022-01-19,0.0005436591
2022-01-20,0.0005438934
2022-01-21,0.0005451582
2022-01-22,0.0005451463
2022-01-23,0.0005444844
2022-01-24,0.0005427939
2022-01-25,0.000540906
2022-01-26,0.0005493781
2022-01-27,0.0005562323
2022-01-28,0.0005581385
2022-01-29,0.0005581385
2022-01-30,0.0005586186
2022-01-31,0.0005562787
2022-02-01,0.0005553303
2022-02-02,0.0005560869
2022-02-03,0.0005537528
2022-02-04,0.0005532381
2022-02-05,0.0005530606
2022-02-06,0.0005525747
2022-02-07,0.0005490418
2022-02-08,0.0005492785
2022-02-09,0.0005454005
2022-02-10,0.0005474772
2022-02-11,0.0005379931
2022-02-12,0.0005380683
2022-02-13,0.0005377674
2022-02-14,0.0005368695
2022-02-15,0.0005394354
2022-02-16,0.0005349367
2022-02-17,0.0005263463
2022-02-18,0.0005268399
2022-02-19,0.0005268066
2022-02-20,0.0005251742
2022-02-21,0.0005234999
2022-02-22,0.000526507
2022-02-23,0.0005233123
2022-02-24,0.0005231439
2022-02-25,0.000529361
2022-02-26,0.0005291873
2022-02-27,0.0005226299
2022-02-28,0.0005243192
2022-03-01,0.0005146733
2022-03-02,0.0005182937
2022-03-03,0.0005166303
2022-03-04,0.0005076091
2022-03-05,0.0005073979
2022-03-06,0.00050269
2022-03-07,0.0005045651
2022-03-08,0.0004976734
2022-03-09,0.0005022299
2022-03-10,0.0005004654
2022-03-11,0.0005030839
2022-03-12,0.0005029688
2022-03-13,0.0005064548
2022-03-14,0.0005117341
2022-03-15,0.0005216811
2022-03-16,0.000518866
2022-03-17,0.0005149304
2022-03-18,0.0005143266
2022-03-19,0.0005208116
2022-03-20,0.0005212596
2022-03-21,0.0005164236
2022-03-22,0.0005206001
2022-03-23,0.0005136566
2022-03-24,0.000510501
2022-03-25,0.0005106731
2022-03-26,0.0005107513
2022-03-27,0.00051072
2022-03-28,0.0005200681
2022-03-29,0.0005214145
2022-03-30,0.0005175716
2022-03-31,0.0005164782
2022-04-01,0.0005194468
2022-04-02,0.000519656
2022-04-03,0.0005198505
2022-04-04,0.0005175716
2022-04-05,0.0005203184
2022-04-06,0.0005207737
2022-04-07,0.0005175019
2022-04-08,0.000513579
2022-04-09,0.0005135316
2022-04-10,0.0005140437
2022-04-11,0.0005120092
2022-04-12,0.0005088023
2022-04-13,0.0005053721
2022-04-14,0.0005075343
2022-04-15,0.0005070145
2022-04-16,0.000506483
2022-04-17,0.0005051015
2022-04-18,0.000505909
2022-04-19,0.0005131231
2022-04-20,0.000511454
2022-04-21,0.0005122531
2022-04-22,0.0005177243
2022-04-23,0.0005176948
2022-04-24,0.0005176426
2022-04-25,0.000526649
2022-04-26,0.0005262244
2022-04-27,0.00053058
2022-04-28,0.0005279692
2022-04-29,0.0005271592
2022-04-30,0.0005271592
2022-05-01,0.0005266789
2022-05-02,0.0005369416
2022-05-03,0.000535087
2022-05-04,0.0005298743
2022-05-05,0.0005328076
2022-05-06,0.0005336635
2022-05-07,0.0005310787
2022-05-08,0.0005317197
2022-05-09,0.0005392013
2022-05-10,0.0005439513
2022-05-11,0.0005395606
2022-05-12,0.0005492393
2022-05-13,0.0005520439
